root_id,cell_type,top_nt,side
720575940611474925,DNge102,glutamate,right
720575940625345584,DNg92_a,acetylcholine,left
720575940639789731,DNpe012,acetylcholine,right
720575940614572906,DNge175,acetylcholine,left
720575940627620593,DNpe019,acetylcholine,left
720575940631609391,DNpe029,acetylcholine,right
720575940620328828,DNg03,acetylcholine,left
720575940627946261,DNa10,acetylcholine,right
720575940627722234,DNge113,acetylcholine,left
720575940623467527,DNp40,acetylcholine,left
720575940626399588,DNg12_d,acetylcholine,right
720575940607178709,DNge016,glutamate,left
720575940617477022,DNge091,acetylcholine,left
720575940636254810,DNg03,,left
720575940644438551,DNa01,acetylcholine,right
720575940628241628,DNg12_b,acetylcholine,right
720575940619751872,DNg12_a,acetylcholine,right
720575940626919579,DNge017,acetylcholine,left
720575940641237632,DNp72,acetylcholine,right
720575940622537477,DNge067,gaba,left
720575940619486891,DNp13,acetylcholine,left
720575940626518858,DNpe029,acetylcholine,right
720575940611807795,DNge024,acetylcholine,right
720575940636651376,DNp51,acetylcholine,right
720575940624448956,DNg42,glutamate,left
720575940640306061,DNpe054,acetylcholine,left
720575940630221509,DNp67,acetylcholine,right
720575940616374667,DNge015,acetylcholine,right
720575940632037224,DNge016,acetylcholine,right
720575940620369517,DNp46,acetylcholine,left
720575940631090402,DNg11,gaba,right
720575940627924227,DNpe014,acetylcholine,left
720575940637966424,DNge175,acetylcholine,right
720575940634163682,DNb03,acetylcholine,left
720575940635587064,DNg51,acetylcholine,right
720575940615899622,DNg03,acetylcholine,right
